ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
440,1578.35271727699,-783.107229791143,1497.40400095856,4.5,4.9839,2,False,2312.2873903504124
510,1571.20464457989,-782.475179725067,1503.62141815942,0.5,1.0084,4,True,2311.239669783932
511,1571.20464457989,-782.475179725067,1503.62141815942,0.5,1.0084,4,True,2311.239669783932
299,1571.9099808424,-774.02443131808,1505.63577164397,1.0,4.8612,4,True,2310.1848162004626
301,1571.9099808424,-774.02443131808,1505.63577164397,1.0,4.8535,4,True,2310.1848162004626
302,1571.9099808424,-774.02443131808,1505.63577164397,1.0,1.3524,3,True,2310.1848162004626
437,1571.9099808424,-774.02443131808,1505.63577164397,1.0,2.4222,2,False,2310.1848162004626
428,1571.86763674885,-774.024442085379,1504.02264371515,3.5,16.923,2,False,2309.1049818516058
430,1582.89087320816,-777.296841182662,1490.70923956362,3.0,10.6625,3,True,2309.1011092454532
481,1587.97716580817,-758.866424980929,1494.56698607574,1.0,5.18,2,False,2308.956518854135
441,1582.29097030329,-778.781633758303,1490.31182554382,4.5,9.1532,2,False,2308.9337117245987
465,1580.87355454039,-785.475648067893,1487.59762190218,0.5,5.3929,2,False,2308.4799920817736
455,1581.27370095208,-780.255488389661,1489.61716364959,3.0,16.4853,2,False,2308.2860391910544
426,1581.19542428947,-779.753265568259,1489.55146973991,0.5,17.4077,3,True,2308.0203001625973
471,1591.80793481675,-786.603247513971,1472.52222741159,0.5,6.2487,2,False,2306.7117029586257
425,1551.61285947753,-763.792968650232,1524.03381249266,0.5,74.9558,2,False,2305.1163151295605
438,1549.57832077511,-766.740677912948,1522.64448870421,1.0,8.5955,2,False,2303.8078214911766
439,1580.83713804518,-768.52447890546,1488.7651668196,4.5,12.2525,2,False,2303.4968316963614
427,1580.83713804518,-768.52447890546,1488.7651668196,2.0,12.2528,2,False,2303.4968316963614
469,1580.34532266182,-773.486000350198,1484.13259301188,0.5,3.5727,2,False,2301.8300296149164
464,1580.34532266182,-773.486000350198,1484.13259301188,0.5,3.3804,2,False,2301.8300296149164
512,1571.20464457989,-782.487717517701,1488.29817664003,0.5,1.0084,4,True,2301.3045269597674
19,1793.39125287547,-715.621581976807,1251.52055471442,0.5,10.0778,3,True,2301.0150224094423
15,1793.39125287547,-715.621581976807,1251.52055471442,3.0,10.3406,7,True,2301.0150224094423
